Upper tier local authorities Code,Upper tier local authorities,Age (86 categories) Code,Age (86 categories),Ethnic group (8 categories) Code,Ethnic group (8 categories),Sex (2 categories) Code,Sex (2 categories),Observation
E09000002,Barking and Dagenham,31,Aged 31 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,379
E09000002,Barking and Dagenham,31,Aged 31 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,376
E09000002,Barking and Dagenham,31,Aged 31 years,7,Other ethnic group,1,Female,77
E09000002,Barking and Dagenham,31,Aged 31 years,7,Other ethnic group,2,Male,74
E09000002,Barking and Dagenham,32,Aged 32 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,32,Aged 32 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,32,Aged 32 years,1,"Asian, Asian British or Asian Welsh",1,Female,708
E09000002,Barking and Dagenham,32,Aged 32 years,1,"Asian, Asian British or Asian Welsh",2,Male,556
E09000002,Barking and Dagenham,32,Aged 32 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,354
E09000002,Barking and Dagenham,32,Aged 32 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,195
E09000002,Barking and Dagenham,32,Aged 32 years,3,Mixed or Multiple ethnic groups,1,Female,55
E09000002,Barking and Dagenham,32,Aged 32 years,3,Mixed or Multiple ethnic groups,2,Male,42
E09000002,Barking and Dagenham,32,Aged 32 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,476
E09000002,Barking and Dagenham,32,Aged 32 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,392
E09000002,Barking and Dagenham,32,Aged 32 years,5,White: Irish,1,Female,6
E09000002,Barking and Dagenham,32,Aged 32 years,5,White: Irish,2,Male,6
E09000002,Barking and Dagenham,32,Aged 32 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,419
E09000002,Barking and Dagenham,32,Aged 32 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,365
E09000002,Barking and Dagenham,32,Aged 32 years,7,Other ethnic group,1,Female,110
E09000002,Barking and Dagenham,32,Aged 32 years,7,Other ethnic group,2,Male,63
E09000002,Barking and Dagenham,33,Aged 33 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,33,Aged 33 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,33,Aged 33 years,1,"Asian, Asian British or Asian Welsh",1,Female,703
E09000002,Barking and Dagenham,33,Aged 33 years,1,"Asian, Asian British or Asian Welsh",2,Male,567
E09000002,Barking and Dagenham,33,Aged 33 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,339
E09000002,Barking and Dagenham,33,Aged 33 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,210
E09000002,Barking and Dagenham,33,Aged 33 years,3,Mixed or Multiple ethnic groups,1,Female,51
E09000002,Barking and Dagenham,33,Aged 33 years,3,Mixed or Multiple ethnic groups,2,Male,51
E09000002,Barking and Dagenham,33,Aged 33 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,422
E09000002,Barking and Dagenham,33,Aged 33 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,391
E09000002,Barking and Dagenham,33,Aged 33 years,5,White: Irish,1,Female,7
E09000002,Barking and Dagenham,33,Aged 33 years,5,White: Irish,2,Male,6
E09000002,Barking and Dagenham,33,Aged 33 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,393
E09000002,Barking and Dagenham,33,Aged 33 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,467
E09000002,Barking and Dagenham,33,Aged 33 years,7,Other ethnic group,1,Female,94
E09000002,Barking and Dagenham,33,Aged 33 years,7,Other ethnic group,2,Male,66
E09000002,Barking and Dagenham,34,Aged 34 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,34,Aged 34 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,34,Aged 34 years,1,"Asian, Asian British or Asian Welsh",1,Female,678
E09000002,Barking and Dagenham,34,Aged 34 years,1,"Asian, Asian British or Asian Welsh",2,Male,592
E09000002,Barking and Dagenham,34,Aged 34 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,372
E09000002,Barking and Dagenham,34,Aged 34 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,219
E09000002,Barking and Dagenham,34,Aged 34 years,3,Mixed or Multiple ethnic groups,1,Female,76
E09000002,Barking and Dagenham,34,Aged 34 years,3,Mixed or Multiple ethnic groups,2,Male,34
E09000002,Barking and Dagenham,34,Aged 34 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,382
E09000002,Barking and Dagenham,34,Aged 34 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,360
E09000002,Barking and Dagenham,34,Aged 34 years,5,White: Irish,1,Female,2
E09000002,Barking and Dagenham,34,Aged 34 years,5,White: Irish,2,Male,10
E09000002,Barking and Dagenham,34,Aged 34 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,396
E09000002,Barking and Dagenham,34,Aged 34 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,467
E09000002,Barking and Dagenham,34,Aged 34 years,7,Other ethnic group,1,Female,83
E09000002,Barking and Dagenham,34,Aged 34 years,7,Other ethnic group,2,Male,67
E09000002,Barking and Dagenham,35,Aged 35 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,35,Aged 35 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,35,Aged 35 years,1,"Asian, Asian British or Asian Welsh",1,Female,702
E09000002,Barking and Dagenham,35,Aged 35 years,1,"Asian, Asian British or Asian Welsh",2,Male,623
E09000002,Barking and Dagenham,35,Aged 35 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,369
E09000002,Barking and Dagenham,35,Aged 35 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,236
E09000002,Barking and Dagenham,35,Aged 35 years,3,Mixed or Multiple ethnic groups,1,Female,67
E09000002,Barking and Dagenham,35,Aged 35 years,3,Mixed or Multiple ethnic groups,2,Male,31
E09000002,Barking and Dagenham,35,Aged 35 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,385
E09000002,Barking and Dagenham,35,Aged 35 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,409
E09000002,Barking and Dagenham,35,Aged 35 years,5,White: Irish,1,Female,6
E09000002,Barking and Dagenham,35,Aged 35 years,5,White: Irish,2,Male,5
E09000002,Barking and Dagenham,35,Aged 35 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,420
E09000002,Barking and Dagenham,35,Aged 35 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,356
E09000002,Barking and Dagenham,35,Aged 35 years,7,Other ethnic group,1,Female,89
E09000002,Barking and Dagenham,35,Aged 35 years,7,Other ethnic group,2,Male,75
E09000002,Barking and Dagenham,36,Aged 36 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,36,Aged 36 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,36,Aged 36 years,1,"Asian, Asian British or Asian Welsh",1,Female,638
E09000002,Barking and Dagenham,36,Aged 36 years,1,"Asian, Asian British or Asian Welsh",2,Male,614
E09000002,Barking and Dagenham,36,Aged 36 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,383
E09000002,Barking and Dagenham,36,Aged 36 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,273
E09000002,Barking and Dagenham,36,Aged 36 years,3,Mixed or Multiple ethnic groups,1,Female,54
E09000002,Barking and Dagenham,36,Aged 36 years,3,Mixed or Multiple ethnic groups,2,Male,50
E09000002,Barking and Dagenham,36,Aged 36 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,469
E09000002,Barking and Dagenham,36,Aged 36 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,372
E09000002,Barking and Dagenham,36,Aged 36 years,5,White: Irish,1,Female,4
E09000002,Barking and Dagenham,36,Aged 36 years,5,White: Irish,2,Male,5
E09000002,Barking and Dagenham,36,Aged 36 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,440
E09000002,Barking and Dagenham,36,Aged 36 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,425
E09000002,Barking and Dagenham,36,Aged 36 years,7,Other ethnic group,1,Female,73
E09000002,Barking and Dagenham,36,Aged 36 years,7,Other ethnic group,2,Male,70
E09000002,Barking and Dagenham,37,Aged 37 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,37,Aged 37 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,37,Aged 37 years,1,"Asian, Asian British or Asian Welsh",1,Female,624
E09000002,Barking and Dagenham,37,Aged 37 years,1,"Asian, Asian British or Asian Welsh",2,Male,696
E09000002,Barking and Dagenham,37,Aged 37 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,395
E09000002,Barking and Dagenham,37,Aged 37 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,242
E09000002,Barking and Dagenham,37,Aged 37 years,3,Mixed or Multiple ethnic groups,1,Female,47
E09000002,Barking and Dagenham,37,Aged 37 years,3,Mixed or Multiple ethnic groups,2,Male,44
E09000002,Barking and Dagenham,37,Aged 37 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,401
E09000002,Barking and Dagenham,37,Aged 37 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,343
E09000002,Barking and Dagenham,37,Aged 37 years,5,White: Irish,1,Female,7
E09000002,Barking and Dagenham,37,Aged 37 years,5,White: Irish,2,Male,6
E09000002,Barking and Dagenham,37,Aged 37 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,352
E09000002,Barking and Dagenham,37,Aged 37 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,369
E09000002,Barking and Dagenham,37,Aged 37 years,7,Other ethnic group,1,Female,79
E09000002,Barking and Dagenham,37,Aged 37 years,7,Other ethnic group,2,Male,65
E09000002,Barking and Dagenham,38,Aged 38 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,38,Aged 38 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,38,Aged 38 years,1,"Asian, Asian British or Asian Welsh",1,Female,602
E09000002,Barking and Dagenham,38,Aged 38 years,1,"Asian, Asian British or Asian Welsh",2,Male,661
E09000002,Barking and Dagenham,38,Aged 38 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,422
E09000002,Barking and Dagenham,38,Aged 38 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,241
E09000002,Barking and Dagenham,38,Aged 38 years,3,Mixed or Multiple ethnic groups,1,Female,47
E09000002,Barking and Dagenham,38,Aged 38 years,3,Mixed or Multiple ethnic groups,2,Male,31
E09000002,Barking and Dagenham,38,Aged 38 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,412
E09000002,Barking and Dagenham,38,Aged 38 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,356
E09000002,Barking and Dagenham,38,Aged 38 years,5,White: Irish,1,Female,5
E09000002,Barking and Dagenham,38,Aged 38 years,5,White: Irish,2,Male,4
E09000002,Barking and Dagenham,38,Aged 38 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,434
E09000002,Barking and Dagenham,38,Aged 38 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,390
E09000002,Barking and Dagenham,38,Aged 38 years,7,Other ethnic group,1,Female,78
E09000002,Barking and Dagenham,38,Aged 38 years,7,Other ethnic group,2,Male,75
E09000002,Barking and Dagenham,39,Aged 39 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,39,Aged 39 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,39,Aged 39 years,1,"Asian, Asian British or Asian Welsh",1,Female,615
E09000002,Barking and Dagenham,39,Aged 39 years,1,"Asian, Asian British or Asian Welsh",2,Male,598
E09000002,Barking and Dagenham,39,Aged 39 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,357
E09000002,Barking and Dagenham,39,Aged 39 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,232
E09000002,Barking and Dagenham,39,Aged 39 years,3,Mixed or Multiple ethnic groups,1,Female,46
E09000002,Barking and Dagenham,39,Aged 39 years,3,Mixed or Multiple ethnic groups,2,Male,28
E09000002,Barking and Dagenham,39,Aged 39 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,395
E09000002,Barking and Dagenham,39,Aged 39 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,353
E09000002,Barking and Dagenham,39,Aged 39 years,5,White: Irish,1,Female,2
E09000002,Barking and Dagenham,39,Aged 39 years,5,White: Irish,2,Male,6
E09000002,Barking and Dagenham,39,Aged 39 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,394
E09000002,Barking and Dagenham,39,Aged 39 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,408
E09000002,Barking and Dagenham,39,Aged 39 years,7,Other ethnic group,1,Female,78
E09000002,Barking and Dagenham,39,Aged 39 years,7,Other ethnic group,2,Male,59
E09000002,Barking and Dagenham,40,Aged 40 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,40,Aged 40 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,40,Aged 40 years,1,"Asian, Asian British or Asian Welsh",1,Female,602
E09000002,Barking and Dagenham,40,Aged 40 years,1,"Asian, Asian British or Asian Welsh",2,Male,693
E09000002,Barking and Dagenham,40,Aged 40 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,423
E09000002,Barking and Dagenham,40,Aged 40 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,257
E09000002,Barking and Dagenham,40,Aged 40 years,3,Mixed or Multiple ethnic groups,1,Female,36
E09000002,Barking and Dagenham,40,Aged 40 years,3,Mixed or Multiple ethnic groups,2,Male,26
E09000002,Barking and Dagenham,40,Aged 40 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,405
E09000002,Barking and Dagenham,40,Aged 40 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,355
E09000002,Barking and Dagenham,40,Aged 40 years,5,White: Irish,1,Female,3
E09000002,Barking and Dagenham,40,Aged 40 years,5,White: Irish,2,Male,5
E09000002,Barking and Dagenham,40,Aged 40 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,403
E09000002,Barking and Dagenham,40,Aged 40 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,407
E09000002,Barking and Dagenham,40,Aged 40 years,7,Other ethnic group,1,Female,71
E09000002,Barking and Dagenham,40,Aged 40 years,7,Other ethnic group,2,Male,84
E09000002,Barking and Dagenham,41,Aged 41 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,41,Aged 41 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,41,Aged 41 years,1,"Asian, Asian British or Asian Welsh",1,Female,596
E09000002,Barking and Dagenham,41,Aged 41 years,1,"Asian, Asian British or Asian Welsh",2,Male,587
E09000002,Barking and Dagenham,41,Aged 41 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,429
E09000002,Barking and Dagenham,41,Aged 41 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,214
E09000002,Barking and Dagenham,41,Aged 41 years,3,Mixed or Multiple ethnic groups,1,Female,35
E09000002,Barking and Dagenham,41,Aged 41 years,3,Mixed or Multiple ethnic groups,2,Male,21
E09000002,Barking and Dagenham,41,Aged 41 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,396
E09000002,Barking and Dagenham,41,Aged 41 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,384
E09000002,Barking and Dagenham,41,Aged 41 years,5,White: Irish,1,Female,8
E09000002,Barking and Dagenham,41,Aged 41 years,5,White: Irish,2,Male,8
E09000002,Barking and Dagenham,41,Aged 41 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,335
E09000002,Barking and Dagenham,41,Aged 41 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,342
E09000002,Barking and Dagenham,41,Aged 41 years,7,Other ethnic group,1,Female,74
E09000002,Barking and Dagenham,41,Aged 41 years,7,Other ethnic group,2,Male,59
E09000002,Barking and Dagenham,42,Aged 42 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,42,Aged 42 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,42,Aged 42 years,1,"Asian, Asian British or Asian Welsh",1,Female,528
E09000002,Barking and Dagenham,42,Aged 42 years,1,"Asian, Asian British or Asian Welsh",2,Male,558
E09000002,Barking and Dagenham,42,Aged 42 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,544
E09000002,Barking and Dagenham,42,Aged 42 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,373
E09000002,Barking and Dagenham,42,Aged 42 years,3,Mixed or Multiple ethnic groups,1,Female,31
E09000002,Barking and Dagenham,42,Aged 42 years,3,Mixed or Multiple ethnic groups,2,Male,24
E09000002,Barking and Dagenham,42,Aged 42 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,368
E09000002,Barking and Dagenham,42,Aged 42 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,280
E09000002,Barking and Dagenham,42,Aged 42 years,5,White: Irish,1,Female,3
E09000002,Barking and Dagenham,42,Aged 42 years,5,White: Irish,2,Male,3
E09000002,Barking and Dagenham,42,Aged 42 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,363
E09000002,Barking and Dagenham,42,Aged 42 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,320
E09000002,Barking and Dagenham,42,Aged 42 years,7,Other ethnic group,1,Female,62
E09000002,Barking and Dagenham,42,Aged 42 years,7,Other ethnic group,2,Male,67
E09000002,Barking and Dagenham,43,Aged 43 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,43,Aged 43 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,43,Aged 43 years,1,"Asian, Asian British or Asian Welsh",1,Female,402
E09000002,Barking and Dagenham,43,Aged 43 years,1,"Asian, Asian British or Asian Welsh",2,Male,524
E09000002,Barking and Dagenham,43,Aged 43 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,433
E09000002,Barking and Dagenham,43,Aged 43 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,258
E09000002,Barking and Dagenham,43,Aged 43 years,3,Mixed or Multiple ethnic groups,1,Female,34
E09000002,Barking and Dagenham,43,Aged 43 years,3,Mixed or Multiple ethnic groups,2,Male,26
E09000002,Barking and Dagenham,43,Aged 43 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,345
E09000002,Barking and Dagenham,43,Aged 43 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,294
E09000002,Barking and Dagenham,43,Aged 43 years,5,White: Irish,1,Female,8
E09000002,Barking and Dagenham,43,Aged 43 years,5,White: Irish,2,Male,7
E09000002,Barking and Dagenham,43,Aged 43 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,364
E09000002,Barking and Dagenham,43,Aged 43 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,303
E09000002,Barking and Dagenham,43,Aged 43 years,7,Other ethnic group,1,Female,76
E09000002,Barking and Dagenham,43,Aged 43 years,7,Other ethnic group,2,Male,69
E09000002,Barking and Dagenham,44,Aged 44 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,44,Aged 44 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,44,Aged 44 years,1,"Asian, Asian British or Asian Welsh",1,Female,425
E09000002,Barking and Dagenham,44,Aged 44 years,1,"Asian, Asian British or Asian Welsh",2,Male,517
E09000002,Barking and Dagenham,44,Aged 44 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,437
E09000002,Barking and Dagenham,44,Aged 44 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,292
E09000002,Barking and Dagenham,44,Aged 44 years,3,Mixed or Multiple ethnic groups,1,Female,36
E09000002,Barking and Dagenham,44,Aged 44 years,3,Mixed or Multiple ethnic groups,2,Male,49
E09000002,Barking and Dagenham,44,Aged 44 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,353
E09000002,Barking and Dagenham,44,Aged 44 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,319
E09000002,Barking and Dagenham,44,Aged 44 years,5,White: Irish,1,Female,4
E09000002,Barking and Dagenham,44,Aged 44 years,5,White: Irish,2,Male,2
E09000002,Barking and Dagenham,44,Aged 44 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,271
E09000002,Barking and Dagenham,44,Aged 44 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,314
E09000002,Barking and Dagenham,44,Aged 44 years,7,Other ethnic group,1,Female,72
E09000002,Barking and Dagenham,44,Aged 44 years,7,Other ethnic group,2,Male,60
E09000002,Barking and Dagenham,45,Aged 45 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,45,Aged 45 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,45,Aged 45 years,1,"Asian, Asian British or Asian Welsh",1,Female,384
E09000002,Barking and Dagenham,45,Aged 45 years,1,"Asian, Asian British or Asian Welsh",2,Male,442
E09000002,Barking and Dagenham,45,Aged 45 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,467
E09000002,Barking and Dagenham,45,Aged 45 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,331
E09000002,Barking and Dagenham,45,Aged 45 years,3,Mixed or Multiple ethnic groups,1,Female,32
E09000002,Barking and Dagenham,45,Aged 45 years,3,Mixed or Multiple ethnic groups,2,Male,22
E09000002,Barking and Dagenham,45,Aged 45 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,385
E09000002,Barking and Dagenham,45,Aged 45 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,316
E09000002,Barking and Dagenham,45,Aged 45 years,5,White: Irish,1,Female,8
E09000002,Barking and Dagenham,45,Aged 45 years,5,White: Irish,2,Male,5
E09000002,Barking and Dagenham,45,Aged 45 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,301
E09000002,Barking and Dagenham,45,Aged 45 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,282
E09000002,Barking and Dagenham,45,Aged 45 years,7,Other ethnic group,1,Female,68
E09000002,Barking and Dagenham,45,Aged 45 years,7,Other ethnic group,2,Male,59
E09000002,Barking and Dagenham,46,Aged 46 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,46,Aged 46 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,46,Aged 46 years,1,"Asian, Asian British or Asian Welsh",1,Female,365
E09000002,Barking and Dagenham,46,Aged 46 years,1,"Asian, Asian British or Asian Welsh",2,Male,535
E09000002,Barking and Dagenham,46,Aged 46 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,459
E09000002,Barking and Dagenham,46,Aged 46 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,280
E09000002,Barking and Dagenham,46,Aged 46 years,3,Mixed or Multiple ethnic groups,1,Female,37
E09000002,Barking and Dagenham,46,Aged 46 years,3,Mixed or Multiple ethnic groups,2,Male,28
E09000002,Barking and Dagenham,46,Aged 46 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,403
E09000002,Barking and Dagenham,46,Aged 46 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,323
E09000002,Barking and Dagenham,46,Aged 46 years,5,White: Irish,1,Female,9
E09000002,Barking and Dagenham,46,Aged 46 years,5,White: Irish,2,Male,3
E09000002,Barking and Dagenham,46,Aged 46 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,246
E09000002,Barking and Dagenham,46,Aged 46 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,282
E09000002,Barking and Dagenham,46,Aged 46 years,7,Other ethnic group,1,Female,65
E09000002,Barking and Dagenham,46,Aged 46 years,7,Other ethnic group,2,Male,77
E09000002,Barking and Dagenham,47,Aged 47 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,47,Aged 47 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,47,Aged 47 years,1,"Asian, Asian British or Asian Welsh",1,Female,357
E09000002,Barking and Dagenham,47,Aged 47 years,1,"Asian, Asian British or Asian Welsh",2,Male,440
E09000002,Barking and Dagenham,47,Aged 47 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,399
E09000002,Barking and Dagenham,47,Aged 47 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,341
E09000002,Barking and Dagenham,47,Aged 47 years,3,Mixed or Multiple ethnic groups,1,Female,39
E09000002,Barking and Dagenham,47,Aged 47 years,3,Mixed or Multiple ethnic groups,2,Male,21
E09000002,Barking and Dagenham,47,Aged 47 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,401
E09000002,Barking and Dagenham,47,Aged 47 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,377
E09000002,Barking and Dagenham,47,Aged 47 years,5,White: Irish,1,Female,6
E09000002,Barking and Dagenham,47,Aged 47 years,5,White: Irish,2,Male,4
E09000002,Barking and Dagenham,47,Aged 47 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,216
E09000002,Barking and Dagenham,47,Aged 47 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,315
E09000002,Barking and Dagenham,47,Aged 47 years,7,Other ethnic group,1,Female,54
E09000002,Barking and Dagenham,47,Aged 47 years,7,Other ethnic group,2,Male,59
E09000002,Barking and Dagenham,48,Aged 48 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,48,Aged 48 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,48,Aged 48 years,1,"Asian, Asian British or Asian Welsh",1,Female,288
E09000002,Barking and Dagenham,48,Aged 48 years,1,"Asian, Asian British or Asian Welsh",2,Male,347
E09000002,Barking and Dagenham,48,Aged 48 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,384
E09000002,Barking and Dagenham,48,Aged 48 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,311
E09000002,Barking and Dagenham,48,Aged 48 years,3,Mixed or Multiple ethnic groups,1,Female,27
E09000002,Barking and Dagenham,48,Aged 48 years,3,Mixed or Multiple ethnic groups,2,Male,19
E09000002,Barking and Dagenham,48,Aged 48 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,428
E09000002,Barking and Dagenham,48,Aged 48 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,388
E09000002,Barking and Dagenham,48,Aged 48 years,5,White: Irish,1,Female,11
E09000002,Barking and Dagenham,48,Aged 48 years,5,White: Irish,2,Male,8
E09000002,Barking and Dagenham,48,Aged 48 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,219
E09000002,Barking and Dagenham,48,Aged 48 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,268
E09000002,Barking and Dagenham,48,Aged 48 years,7,Other ethnic group,1,Female,57
E09000002,Barking and Dagenham,48,Aged 48 years,7,Other ethnic group,2,Male,51
E09000002,Barking and Dagenham,49,Aged 49 years,-8,Does not apply,1,Female,0
E09000002,Barking and Dagenham,49,Aged 49 years,-8,Does not apply,2,Male,0
E09000002,Barking and Dagenham,49,Aged 49 years,1,"Asian, Asian British or Asian Welsh",1,Female,283
